City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Padang,ID,76.82,heavy intensity rain,-0.9492,100.3543,Mercure Padang
1,Te Anau,NZ,56.26,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
2,Goderich,CA,39.9,overcast clouds,43.7501,-81.7165,Harmony Inn
3,Havoysund,NO,30.43,snow,70.9963,24.6622,Arctic View Glamping & Restaurant
4,Mar Del Plata,AR,78.82,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Castro,BR,70.83,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
6,Gold Coast,AU,68.07,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
7,Saldanha,ZA,75.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
8,Gushikawa,JP,66.2,moderate rain,26.3544,127.8686,Kirari Guest House
9,Ushuaia,AR,47.05,light rain,-54.8,-68.3,Albatross Hotel
10,Artyom,AZ,39.34,overcast clouds,40.4723,50.333,Merdan Respect
11,Hofn,IS,45.64,light rain,64.2539,-15.2082,Hótel Höfn
12,East London,ZA,72.72,clear sky,-33.0153,27.9116,Tu Casa
13,Punta Arenas,CL,53.71,clear sky,-53.15,-70.9167,Hotel Hain
14,Mataura,NZ,55.94,clear sky,-46.1927,168.8643,Ellie's Villa
15,Jamestown,US,48.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
16,Puquio,PE,58.77,overcast clouds,-14.7,-74.1333,Hostal Jousef
17,Thongwa,MM,75.36,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
18,Lagoa,PT,59.2,few clouds,39.05,-27.9833,Casa Das Faias
19,Floro,NO,41.97,few clouds,61.5996,5.0328,Kinn Hotell Florø
20,Comodoro Rivadavia,AR,64.36,overcast clouds,-45.8667,-67.5,Austral Hotel
21,Saint-Raymond,CA,41.41,few clouds,45.467,-73.6095,La Tour Belvedere hotel
22,Severo-Kurilsk,RU,25.2,overcast clouds,50.6789,156.125,Kak Doma
23,Tabuk,PH,72.41,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
24,Hilo,US,76.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Thompson,CA,24.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
26,Klaksvik,FO,47.32,overcast clouds,62.2266,-6.589,Airbnb rooms
27,Lichuan,CN,41.31,overcast clouds,30.3,108.85,Yicheng Hotel
28,Kijang,KR,44.6,overcast clouds,35.2442,129.2139,Samyang Beach Villa
29,Tuatapere,NZ,57.7,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
30,Ntungamo,UG,63.48,overcast clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
31,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
32,Busselton,AU,53.02,clear sky,-33.65,115.3333,Observatory Guest House
33,Vila Velha,BR,71.94,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
34,Hasaki,JP,30.6,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
35,Victoria,HK,69.96,light rain,22.2855,114.1577,Mini Hotel Central
36,Cape Town,ZA,77.11,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
37,Kawalu,ID,73.13,overcast clouds,-7.3817,108.2082,West Jontor
38,Manjacaze,MZ,67.86,clear sky,-24.7117,33.8828,Hotel Gani
39,Port Alfred,ZA,72.46,clear sky,-33.5906,26.891,The Halyards Hotel
40,Kodiak,US,33.39,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
41,Bosaso,SO,78.76,clear sky,11.2842,49.1816,Red Sea Hotel
42,Esperance,AU,61.27,overcast clouds,-33.8667,121.9,Hospitality Esperance
43,Fez,MA,61.05,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
44,Prince Rupert,CA,42.89,moderate rain,54.3161,-130.3201,Crest Hotel
45,Brae,GB,44.26,broken clouds,60.3964,-1.353,Busta House Hotel
46,Lebu,CL,60.22,clear sky,-37.6167,-73.65,Hostal Las Lilas
47,Hamilton,US,64.89,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
48,Elblag,PL,49.96,clear sky,54.1522,19.4088,HOTEL RESTAURACJA ŻUŁAWY ELBLĄG
49,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
50,Chuy,UY,69.35,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Dasoguz,TM,44.08,overcast clouds,41.8363,59.9666,Hotel Erik
52,Arraial Do Cabo,BR,75.83,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Hobart,AU,55.26,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
54,Yima,CN,41.59,clear sky,34.7381,111.8839,Yima Hotel
55,Yulara,AU,75.16,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
56,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
57,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Bethel,US,56.89,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
59,Hermanus,ZA,70.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
60,Bredasdorp,ZA,69.13,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
61,Saiha,IN,66.11,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
62,Pevek,RU,23.83,overcast clouds,69.7008,170.3133,Severnoye Zoloto
63,Amuntai,ID,73.85,overcast clouds,-2.4177,115.2494,Hotel Balqis
64,Talcahuano,CL,59.97,clear sky,-36.7167,-73.1167,departamento comodo
65,Vardo,NO,30.18,clear sky,70.3705,31.1107,Vardø Hotel AS
66,Bluff,NZ,57.92,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
67,Mutsu,JP,30.9,few clouds,41.2894,141.2169,Mutsu Park Hotel
68,Leibnitz,AT,44.87,clear sky,46.7816,15.5384,JUFA Hotel Leibnitz – Sport-Resort
69,Sinnamary,GF,78.73,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
70,Sydney Mines,CA,29.17,overcast clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
71,Vao,NC,76.15,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
72,Oistins,BB,78.91,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
73,Kapaa,US,75.18,thunderstorm with rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
