City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2022-03-22 20:01:32,-23.1203,-134.9692,79.39,70,66,12.1,broken clouds
1,Padang,ID,2022-03-22 20:01:32,-0.9492,100.3543,76.82,86,84,3.76,heavy intensity rain
2,Egvekinot,RU,2022-03-22 20:01:33,66.3167,-179.1667,10.87,97,100,1.86,overcast clouds
3,Te Anau,NZ,2022-03-22 20:01:33,-45.4167,167.7167,56.26,84,9,0.81,clear sky
4,Goderich,CA,2022-03-22 20:01:20,43.7501,-81.7165,39.9,57,100,8.14,overcast clouds
5,Havoysund,NO,2022-03-22 20:01:33,70.9963,24.6622,30.43,92,100,23.17,snow
6,Mar Del Plata,AR,2022-03-22 19:58:11,-38.0023,-57.5575,78.82,84,40,10.0,scattered clouds
7,Castro,BR,2022-03-22 20:01:34,-24.7911,-50.0119,70.83,71,50,6.64,scattered clouds
8,Gold Coast,AU,2022-03-22 20:00:28,-28.0,153.4333,68.07,93,5,5.75,clear sky
9,Saldanha,ZA,2022-03-22 19:59:33,-33.0117,17.9442,75.25,76,100,5.64,overcast clouds
10,Gushikawa,JP,2022-03-22 20:01:35,26.3544,127.8686,66.2,100,100,5.75,moderate rain
11,Takoradi,GH,2022-03-22 20:01:35,4.8845,-1.7554,82.08,83,99,10.0,overcast clouds
12,Lavrentiya,RU,2022-03-22 20:01:36,65.5833,-171.0,5.31,86,84,3.02,broken clouds
13,Yellowknife,CA,2022-03-22 20:00:30,62.456,-114.3525,12.42,66,100,4.0,overcast clouds
14,Ushuaia,AR,2022-03-22 20:01:36,-54.8,-68.3,47.05,73,100,4.29,light rain
15,Artyom,AZ,2022-03-22 20:01:36,40.4723,50.333,39.34,66,100,30.74,overcast clouds
16,Leningradskiy,RU,2022-03-22 20:01:37,69.3833,178.4167,20.93,84,86,5.84,overcast clouds
17,Bairiki,KI,2022-03-22 20:01:37,1.3292,172.9752,80.33,72,100,18.39,overcast clouds
18,Hofn,IS,2022-03-22 20:01:12,64.2539,-15.2082,45.64,99,100,9.69,light rain
19,East London,ZA,2022-03-22 20:01:36,-33.0153,27.9116,72.72,79,6,10.89,clear sky
20,Punta Arenas,CL,2022-03-22 19:58:29,-53.15,-70.9167,53.71,40,0,31.07,clear sky
21,Mataura,NZ,2022-03-22 20:01:38,-46.1927,168.8643,55.94,93,7,1.95,clear sky
22,Yelizovo,RU,2022-03-22 20:01:38,53.1873,158.3805,15.94,72,20,4.47,few clouds
23,Nome,US,2022-03-22 20:01:39,64.5011,-165.4064,6.17,64,17,3.02,few clouds
24,Jamestown,US,2022-03-22 20:01:39,42.097,-79.2353,48.52,25,100,3.0,overcast clouds
25,Puquio,PE,2022-03-22 20:01:39,-14.7,-74.1333,58.77,79,87,10.69,overcast clouds
26,Thongwa,MM,2022-03-22 20:01:40,16.7619,96.5278,75.36,86,100,5.28,overcast clouds
27,Lagoa,PT,2022-03-22 20:01:40,39.05,-27.9833,59.2,79,18,14.99,few clouds
