City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-03-16 14:37:56,-23.1203,-134.9692,79.77,79,83,23.58
1,Hermanus,ZA,2022-03-16 14:41:28,-34.4187,19.2345,76.8,57,0,20.62
2,East London,ZA,2022-03-16 14:36:51,-33.0153,27.9116,74.34,64,0,11.5
3,Punta Arenas,CL,2022-03-16 14:41:29,-53.15,-70.9167,50.11,71,75,8.05
4,Ushuaia,AR,2022-03-16 14:37:46,-54.8,-68.3,40.62,87,75,1.14
5,Mahebourg,MU,2022-03-16 14:41:29,-20.4081,57.7,82.69,83,40,3.44
6,Albany,US,2022-03-16 14:41:30,42.6001,-73.9662,47.64,76,49,4.05
7,Ilulissat,GL,2022-03-16 14:37:53,69.2167,-51.1,-3.98,50,75,17.27
8,Sao Filipe,CV,2022-03-16 14:41:30,14.8961,-24.4956,70.27,71,3,10.58
9,Talara,PE,2022-03-16 14:41:31,-4.5772,-81.2719,81.36,57,0,9.22
10,Bluff,NZ,2022-03-16 14:41:31,-46.6,168.3333,44.8,85,87,12.37
11,Tadine,NC,2022-03-16 14:41:31,-21.55,167.8833,78.78,88,100,7.7
12,Butaritari,KI,2022-03-16 14:41:32,3.0707,172.7902,81.48,77,20,19.8
13,Khatanga,RU,2022-03-16 14:41:32,71.9667,102.5,-19.35,93,25,7.92
14,Nikolskoye,RU,2022-03-16 14:41:32,59.7035,30.7861,42.69,81,100,4.47
15,Hilo,US,2022-03-16 14:36:55,19.7297,-155.09,73.13,97,100,4.0
16,Namatanai,PG,2022-03-16 14:41:33,-3.6667,152.4333,78.85,84,74,7.76
17,Nishihara,JP,2022-03-16 14:41:33,26.1842,127.7558,71.65,81,75,12.66
18,Puerto Ayora,EC,2022-03-16 14:41:34,-0.7393,-90.3518,81.55,85,67,1.99
19,Lorengau,PG,2022-03-16 14:41:34,-2.0226,147.2712,82.2,79,100,8.39
20,Povenets,RU,2022-03-16 14:41:34,62.8487,34.8262,30.69,90,100,6.73
21,Bathsheba,BB,2022-03-16 14:41:35,13.2167,-59.5167,83.01,54,40,25.32
22,Melhus,NO,2022-03-16 14:41:35,63.2855,10.2781,49.66,46,100,4.43
23,Barrow,US,2022-03-16 14:38:42,71.2906,-156.7887,-7.58,84,100,9.22
24,Mataura,NZ,2022-03-16 14:41:36,-46.1927,168.8643,44.47,99,82,2.37
25,San Jeronimo,PE,2022-03-16 14:41:36,-11.9472,-75.2829,53.78,66,54,1.16
26,Tuatapere,NZ,2022-03-16 14:41:36,-46.1333,167.6833,45.21,96,82,3.67
